id,Province_id,Province,Year, Waste , Visitor , Population , Waste_Head , Waste_Pop , Waste_Visitor , %Waste_Pop , %Waste_Visitor , %Waste_Visitor by Waste_Pop , Proper_Disposal , %Proper_Disposal 
34,TH56,Phayao,2561,176879,657452,475215,1.01,481.66,2.94,99.39,0.61,0.61,134495.00,76.04
35,TH82,Phangnga,2561,111544,4868330,268240,1.04,278.47,27.13,91.12,8.88,9.74,70248.00,62.98
36,TH93,Phatthalung,2561,188486,1641841,525044,0.97,510.06,6.34,98.77,1.23,1.24,87326.00,46.33
37,TH66,Phichit,2561,238181,893231,539374,1.20,647.84,4.71,99.28,0.72,0.73,93436.00,39.23
38,TH65,Phitsanulok,2561,329580,3304883,866891,1.02,888.40,14.56,98.39,1.61,1.64,228348.00,69.28
39,TH76,Phetchaburi,2561,168546,9064796,484294,0.88,426.78,34.99,92.42,7.58,8.20,101536.00,60.24
40,TH67,Phetchabun,2561,348122,2362288,994540,0.95,940.36,13.40,98.59,1.41,1.43,206929.00,59.44
41,TH54,Phrae,2561,154453,856088,445090,0.94,420.01,3.15,99.26,0.74,0.75,76216.00,49.35
42,TH83,Phuket,2561,376881,14409212,410211,1.82,744.89,287.66,72.14,27.86,38.62,376877.00,100.00
43,TH44,Maha Sarakham,2561,330186,722721,963047,0.94,901.30,3.32,99.63,0.37,0.37,218945.00,66.31
44,TH49,Mukdahan,2561,122144,2085615,352282,0.93,327.04,7.60,97.73,2.27,2.32,81424.00,66.66
45,TH58,Mae Hong Son,2561,61397,1073991,282566,0.58,164.46,3.75,97.77,2.23,2.28,21725.00,35.38
46,TH35,Yasothon,2561,187084,628504,538729,0.95,510.05,2.51,99.51,0.49,0.49,157344.00,84.10
47,TH95,Yala,2561,203601,680018,532326,1.04,554.08,3.73,99.33,0.67,0.67,173696.00,85.31
48,TH45,Roi Et,2561,479807,936220,1307208,1.00,1309.85,4.69,99.64,0.36,0.36,312509.00,65.13
49,TH85,Ranong,2561,69007,1012560,191868,0.96,183.35,5.71,96.98,3.02,3.11,35763.00,51.82
50,TH21,Rayong,2561,353247,7761662,723316,1.27,918.37,49.43,94.89,5.11,5.38,271841.00,76.95
51,TH70,Ratchaburi,2561,315583,2249868,873518,0.98,855.46,9.15,98.94,1.06,1.07,272761.00,86.43
